,age,sex,height,kid_no,purchase
1151,21,1,152,0,0
1152,33,0,181,0,0
1153,39,0,178,2,1
1154,37,0,169,1,0
1155,56,1,161,1,1
1156,27,0,141,1,0
1157,26,0,166,0,0
1158,29,1,171,1,0
1159,35,1,167,2,1
1160,38,1,148,1,0
1161,49,1,157,2,1
1162,38,0,164,2,1
1163,22,0,146,0,0
1164,49,0,146,2,0
1165,37,0,166,2,1
1166,55,1,151,2,1
1167,39,1,163,0,0
1168,36,0,152,1,0
1169,43,0,171,0,1
1170,32,0,171,2,1
1171,55,1,156,1,1
1172,22,1,179,0,1
1173,40,0,169,0,0
1174,23,0,163,0,0
1175,37,0,176,0,0
1176,58,0,165,0,1
1177,30,1,165,1,0
1178,57,1,177,1,0
1179,47,1,157,1,1
1180,24,0,158,0,0
1181,42,0,162,1,0
1182,57,0,142,1,0
1183,55,1,177,0,1
1184,50,1,166,0,1
1185,27,0,149,0,0
1186,44,0,180,0,1
1187,44,1,141,1,1
1188,35,0,167,0,0
1189,30,1,175,2,1
1190,39,0,184,1,0
1191,33,1,182,1,0
1192,59,0,152,2,0
1193,57,0,146,1,0
1194,59,1,156,1,1
1195,38,0,159,1,0
1196,27,0,180,2,1
1197,44,0,171,0,1
1198,52,1,142,2,1
1199,59,1,154,0,1
1200,56,0,152,2,0
1201,36,0,148,1,0
1202,46,1,164,1,1
1203,36,0,153,1,0
1204,52,1,149,2,1
1205,50,0,178,1,0
1206,40,0,158,0,0
1207,43,0,149,2,0
1208,35,1,181,1,0
1209,39,0,175,0,0
1210,54,1,142,2,1
1211,47,1,180,0,1
1212,54,1,163,2,1
1213,37,1,176,0,1
1214,43,1,152,1,1
1215,47,0,174,2,0
1216,33,1,168,1,0
1217,43,0,153,1,0
1218,50,1,176,0,1
1219,25,1,183,2,0
1220,59,1,150,2,1
1221,53,0,155,0,1
1222,54,0,182,2,0
1223,48,1,176,1,0
1224,21,0,178,1,0
1225,24,0,170,0,0
1226,41,0,183,0,1
1227,28,0,161,1,0
1228,53,0,143,0,1
1229,55,0,152,1,0
1230,55,0,158,1,0
1231,45,0,157,2,0
1232,25,1,170,0,0
1233,21,0,178,0,0
1234,55,1,160,2,1
1235,27,1,157,2,1
1236,21,1,172,2,1
1237,21,0,144,1,0
1238,27,0,175,2,1
1239,45,0,162,0,1
1240,56,1,143,1,1
1241,33,1,179,1,0
1242,47,1,167,0,1
1243,52,0,161,1,0
1244,39,1,179,2,0
1245,54,1,161,2,1
1246,56,0,158,2,0
1247,36,1,163,1,0
1248,23,1,155,2,1
1249,28,0,165,2,1
1250,39,0,154,2,0
1251,20,0,172,1,0
1252,40,1,164,0,0
1253,52,1,144,1,1
1254,54,0,156,1,0
1255,25,0,181,2,1
1256,41,0,175,1,0
1257,44,0,158,1,0
1258,22,0,144,0,0
1259,27,1,163,1,0
1260,31,1,165,0,0
1261,48,0,180,0,1
1262,51,0,168,2,0
1263,21,1,153,2,1
1264,36,0,155,2,0
1265,38,1,148,2,1
1266,34,0,168,1,0
1267,41,0,143,0,1
1268,25,1,140,1,0
1269,53,0,157,1,0
1270,22,1,153,0,0
1271,47,0,149,0,1
1272,39,1,152,0,0
1273,35,0,148,1,0
1274,27,0,159,1,0
1275,49,0,144,0,1
1276,55,0,151,2,0
1277,53,1,169,1,1
1278,36,0,171,1,0
1279,44,0,165,0,1
1280,25,0,180,0,0
1281,39,0,172,0,0
1282,37,0,182,2,1
1283,52,1,169,0,1
1284,42,1,145,0,1
1285,53,0,140,1,0
1286,58,1,153,0,1
1287,29,0,150,0,0
1288,25,0,167,2,1
1289,32,0,168,2,1
1290,36,0,144,2,0
1291,37,0,177,2,1
1292,24,1,171,0,0
1293,45,0,172,1,0
1294,34,1,157,2,1
1295,37,1,181,1,0
1296,49,1,140,1,1
1297,26,1,146,2,1
1298,48,1,181,0,1
1299,30,1,166,1,0
1300,25,0,152,2,0
1301,56,0,183,2,0
1302,56,1,165,0,1
1303,40,0,162,1,0
1304,42,1,184,2,0
1305,30,0,174,1,0
1306,50,0,173,0,1
1307,34,1,173,0,0
1308,21,1,152,2,1
1309,27,0,162,0,0
1310,25,0,174,0,0
1311,35,0,161,0,0
1312,52,0,150,0,1
1313,43,0,142,1,0
1314,34,0,150,2,0
1315,54,1,173,2,1
1316,49,1,170,0,1
1317,45,0,147,0,1
1318,24,0,168,0,0
1319,20,1,171,1,0
1320,46,0,150,2,0
1321,40,1,146,0,0
1322,25,1,175,1,0
1323,44,0,163,2,0
1324,37,0,143,2,0
1325,24,1,152,2,1
1326,52,1,168,0,1
1327,37,1,143,2,1
1328,28,1,180,2,0
1329,29,1,163,2,1
1330,56,0,143,0,1
1331,51,1,162,0,1
1332,50,1,172,0,1
1333,29,1,163,0,0
1334,55,1,174,2,1
1335,52,0,160,0,1
1336,34,0,140,0,0
1337,43,0,179,2,0
1338,52,0,171,2,0
1339,48,0,179,0,1
1340,53,0,156,0,1
1341,28,1,162,2,1
1342,57,0,168,1,0
1343,22,1,183,0,1
1344,37,1,167,2,1
1345,35,0,149,0,0
1346,23,0,184,0,0
1347,41,1,171,0,1
1348,49,0,155,0,1
1349,57,0,177,1,0
1350,42,1,141,1,1
1351,38,1,176,0,1
1352,27,1,155,1,0
1353,46,1,163,2,1
1354,24,1,145,1,0
1355,45,1,159,1,1
1356,46,1,171,0,1
1357,39,0,141,1,0
1358,34,0,160,2,0
1359,38,0,151,1,0
1360,52,0,146,2,0
1361,47,0,148,0,1
1362,56,0,142,2,0
1363,58,0,174,2,0
1364,40,1,155,1,0
1365,23,0,150,2,0
1366,38,0,182,0,0
1367,33,1,155,2,1
1368,51,1,181,1,0
1369,53,0,178,1,0
1370,38,1,158,1,0
1371,32,1,146,0,0
1372,47,1,173,1,1
1373,59,1,171,2,1
1374,54,0,151,2,0
1375,27,1,167,1,0
1376,50,0,163,2,0
1377,36,1,150,0,0
1378,21,0,183,0,0
1379,44,0,180,0,1
1380,36,1,145,2,1
1381,47,1,142,1,1
1382,57,0,172,0,1
1383,44,1,156,0,1
1384,32,1,165,1,0
1385,24,0,152,0,0
1386,34,1,158,1,0
1387,30,0,162,1,0
1388,47,0,150,1,0
1389,34,0,170,0,0
1390,58,1,143,0,1
1391,33,1,148,1,0
1392,24,0,169,0,0
1393,42,1,153,2,1
1394,35,1,165,2,1
1395,49,1,166,0,1
1396,34,0,164,1,0
1397,45,0,152,1,0
1398,31,0,151,2,0
1399,51,0,175,1,0
1400,47,0,178,0,1
1401,42,1,142,0,1
1402,40,1,180,0,0
1403,22,0,149,0,0
1404,45,1,184,1,0
1405,20,0,148,0,0
1406,51,1,150,1,1
1407,26,1,157,0,0
1408,38,0,181,0,0
1409,42,0,157,2,0
1410,45,1,156,0,1
1411,33,1,172,0,0
1412,32,0,177,2,1
1413,57,1,145,2,1
1414,39,0,149,2,0
1415,51,1,145,1,1
1416,48,1,155,0,1
1417,39,1,161,0,0
1418,45,0,174,1,0
1419,49,0,178,2,0
1420,48,0,172,0,1
1421,30,0,162,1,0
1422,40,0,149,0,0
1423,37,1,155,2,1
1424,20,0,156,0,0
1425,59,1,166,0,1
1426,58,1,183,1,0
1427,54,1,159,1,1
1428,21,1,140,1,0
1429,42,0,169,1,0
1430,42,0,142,1,0
1431,59,1,158,2,1
1432,48,0,181,2,0
1433,21,0,161,2,1
1434,41,1,179,0,1
1435,22,0,161,1,0
1436,52,0,145,2,0
1437,26,1,140,2,1
1438,58,0,147,2,0
1439,55,0,173,0,1
1440,56,0,149,2,0
1441,43,0,159,0,1
1442,38,1,147,1,0
1443,58,1,162,0,1
1444,45,1,148,0,1
1445,35,0,140,2,0
1446,47,0,166,1,0
1447,41,0,161,2,0
1448,21,0,174,2,1
1449,29,0,152,1,0
1450,37,0,149,0,0
1451,31,1,159,0,0
1452,20,1,163,2,1
1453,23,1,173,0,0
1454,56,0,184,1,0
1455,40,0,170,0,0
1456,39,0,152,1,0
1457,25,1,175,1,0
1458,40,1,155,1,0
1459,24,1,172,1,0
1460,36,1,175,2,1
1461,36,1,159,0,0
1462,25,0,169,0,0
1463,52,0,181,0,1
1464,42,0,169,1,0
1465,23,1,176,2,0
1466,28,0,182,2,1
1467,48,0,169,1,0
1468,30,1,146,1,0
1469,58,1,160,0,1
1470,48,1,158,2,1
1471,51,1,143,0,1
1472,31,0,161,2,1
1473,54,0,149,2,0
1474,47,1,151,2,1
1475,27,1,182,2,0
1476,59,1,169,0,1
1477,58,1,152,1,1
1478,25,1,181,2,0
1479,29,0,156,1,0
1480,44,0,173,0,1
1481,32,0,181,2,1
1482,53,0,166,2,0
1483,34,0,166,1,0
1484,35,1,149,0,0
1485,24,1,143,0,0
1486,42,1,156,1,1
1487,22,0,141,2,0
1488,27,0,181,1,0
1489,28,0,172,2,1
1490,25,0,148,0,0
1491,59,0,184,2,0
1492,35,1,162,2,1
1493,35,0,183,2,1
1494,45,0,167,0,1
1495,42,0,145,2,0
1496,45,1,169,1,1
1497,45,1,182,0,1
1498,39,1,164,2,1
1499,49,1,157,0,1
1500,29,1,175,0,0
1501,31,1,183,0,1
1502,55,0,151,0,1
1503,46,0,169,2,0
1504,59,0,179,0,1
1505,38,1,159,2,1
1506,28,1,170,0,0
1507,21,1,160,2,1
1508,55,0,179,0,1
1509,30,0,156,2,0
1510,30,1,150,1,0
1511,44,1,176,1,0
1512,51,1,177,0,1
1513,47,1,161,1,1
1514,33,1,182,0,1
1515,34,0,140,2,0
1516,25,1,158,0,0
1517,43,0,159,0,1
1518,59,1,152,1,1
1519,57,1,169,1,1
1520,58,1,140,2,1
1521,31,0,146,2,0
1522,44,0,182,2,0
1523,37,1,182,0,1
1524,41,1,159,2,1
1525,50,1,149,2,1
1526,38,1,156,2,1
1527,45,1,154,0,1
1528,49,0,141,1,0
1529,57,1,169,1,1
1530,51,1,159,2,1
1531,59,1,161,0,1
1532,31,0,164,1,0
1533,34,1,184,2,0
1534,52,0,160,2,0
1535,21,1,169,0,0
1536,21,0,178,2,1
1537,56,1,145,0,1
1538,45,0,157,1,0
1539,32,1,148,2,1
1540,28,1,171,1,0
1541,32,0,183,0,0
1542,44,1,170,1,1
1543,39,1,174,2,1
1544,23,0,161,1,0
1545,30,0,177,2,1
1546,27,0,164,0,0
1547,48,1,174,2,1
1548,34,1,143,2,1
1549,28,0,151,0,0
1550,55,0,171,0,1
1551,55,1,158,1,1
1552,37,0,166,0,0
1553,43,0,176,1,0
1554,32,0,180,1,0
1555,27,0,181,2,1
1556,59,0,161,2,0
1557,50,1,170,0,1
1558,39,1,141,2,1
1559,21,1,167,2,1
1560,38,0,184,0,0
1561,34,0,153,1,0
1562,45,0,158,1,0
1563,57,1,143,2,1
1564,28,1,162,1,0
1565,54,1,176,0,1
1566,46,1,173,2,1
1567,31,1,159,0,0
1568,31,1,170,1,0
1569,56,0,156,1,0
1570,32,1,155,2,1
1571,37,0,170,2,1
1572,51,1,140,1,1
1573,30,1,182,1,0
1574,30,0,156,1,0
1575,31,0,163,2,1
1576,49,1,156,0,1
1577,54,0,152,1,0
1578,30,1,181,2,0
1579,32,1,140,0,0
1580,59,1,182,1,0
1581,30,0,140,2,0
1582,22,1,141,2,1
1583,31,1,167,0,0
1584,47,0,174,2,0
1585,23,0,162,2,1
1586,36,1,172,2,1
1587,20,0,184,0,0
1588,33,1,151,1,0
1589,58,0,147,1,0
1590,24,1,168,0,0
1591,23,0,172,1,0
1592,39,0,173,1,0
1593,37,1,165,1,0
1594,36,0,166,0,0
1595,27,0,145,0,0
1596,44,1,157,0,1
1597,31,0,174,1,0
1598,42,0,178,0,1
1599,47,0,144,1,0
1600,22,0,184,0,0
1601,28,0,162,1,0
1602,28,0,167,2,1
1603,45,1,140,2,1
1604,58,1,142,2,1
1605,53,1,142,2,1
1606,44,0,160,1,0
1607,41,1,159,1,1
1608,24,0,170,1,0
1609,51,0,168,1,0
1610,31,1,172,2,1
1611,57,0,167,1,0
1612,27,1,171,2,1
1613,42,0,176,2,0
1614,51,0,176,0,1
1615,29,0,150,0,0
1616,38,0,181,2,1
1617,43,0,184,1,0
1618,39,0,174,0,0
1619,45,1,183,0,1
1620,25,1,168,0,0
1621,45,1,152,0,1
1622,44,1,150,1,1
1623,46,1,148,1,1
1624,52,0,142,2,0
1625,50,0,170,0,1
1626,34,0,181,2,1
1627,27,0,151,2,0
1628,52,1,157,0,1
1629,21,0,161,2,1
1630,46,0,178,2,0
1631,35,1,156,0,0
1632,24,1,158,0,0
1633,30,0,184,2,1
1634,41,1,177,1,0
1635,59,0,183,2,0
1636,50,0,164,0,1
1637,42,0,184,0,1
1638,20,1,184,0,1
1639,37,1,149,2,1
1640,32,1,179,1,0
1641,47,1,177,1,0
1642,42,1,161,0,1
1643,51,0,159,2,0
1644,54,1,140,1,1
1645,54,1,152,2,1
1646,24,1,167,1,0
1647,56,1,175,2,1
1648,39,0,148,2,0
1649,37,1,152,0,0
1650,26,0,152,0,0
1651,26,1,162,0,0
1652,29,0,173,1,0
1653,48,0,152,0,1
1654,33,0,146,2,0
1655,29,0,183,1,0
1656,41,0,161,2,0
1657,22,1,152,2,1
1658,29,1,161,2,1
1659,56,0,152,2,0
1660,48,0,183,0,1
1661,20,1,156,1,0
1662,30,0,169,1,0
1663,33,0,169,0,0
1664,22,1,141,0,0
1665,57,0,174,1,0
1666,27,1,168,1,0
1667,43,1,181,2,0
1668,50,0,177,2,0
1669,37,1,158,0,0
1670,23,0,168,0,0
1671,54,1,156,0,1
1672,36,0,176,0,0
1673,38,0,149,0,0
1674,38,1,165,0,0
1675,48,1,173,1,1
1676,55,1,164,1,1
1677,46,0,163,1,0
1678,59,0,141,1,0
1679,25,1,184,1,0
1680,48,1,184,0,1
1681,39,1,148,2,1
1682,30,0,160,0,0
1683,30,1,170,2,1
1684,29,1,167,1,0
1685,47,0,167,0,1
1686,55,1,183,0,1
1687,31,1,152,1,0
1688,52,0,173,0,1
1689,58,1,149,1,1
1690,51,0,166,0,1
1691,42,0,146,0,1
1692,47,0,154,1,0
1693,41,0,163,1,0
1694,53,1,149,0,1
1695,55,1,142,2,1
1696,43,1,176,1,0
1697,43,0,176,1,0
1698,28,0,178,2,1
1699,35,1,159,1,0
1700,56,1,168,2,1
1701,21,1,158,0,0
1702,50,1,160,1,1
1703,57,0,142,0,1
1704,20,0,140,2,0
1705,39,1,166,1,0
1706,26,1,168,0,0
1707,49,1,169,0,1
1708,23,0,180,2,1
1709,51,1,142,2,1
1710,49,1,151,0,1
1711,36,0,166,2,1
1712,23,0,184,0,0
1713,46,1,140,2,1
1714,26,1,170,1,0
1715,57,1,156,0,1
1716,31,1,161,0,0
1717,37,0,148,0,0
1718,23,1,180,0,1
1719,40,1,151,2,0
1720,47,0,164,2,0
1721,48,1,157,2,1
1722,34,1,176,0,1
1723,34,1,175,1,0
1724,36,1,152,0,0
1725,55,1,156,1,1
1726,58,0,160,1,0
1727,47,0,154,0,1
1728,58,0,171,2,0
1729,43,0,178,0,1
1730,40,1,174,0,0
1731,43,1,176,0,1
1732,54,0,161,2,0
1733,52,1,158,1,1
1734,21,1,173,0,0
1735,42,0,140,1,0
1736,41,1,155,2,1
1737,24,0,169,2,1
1738,59,0,164,2,0
1739,44,0,156,2,0
1740,42,1,140,1,1
1741,37,1,182,1,0
1742,46,1,164,1,1
1743,28,1,162,2,1
1744,25,1,165,2,1
1745,53,0,181,2,0
1746,42,0,183,0,1
1747,38,1,147,0,0
1748,30,0,141,1,0
1749,49,0,156,1,0
1750,31,1,154,0,0
1751,50,0,163,0,1
1752,27,1,152,2,1
1753,50,0,158,1,0
1754,41,0,181,2,0
1755,27,0,158,1,0
1756,45,1,176,2,0
1757,39,1,160,2,1
1758,45,1,143,0,1
1759,23,1,176,1,0
1760,40,0,179,2,0
1761,39,1,157,0,0
1762,57,0,162,0,1
1763,53,1,158,1,1
1764,45,1,175,0,1
1765,27,1,176,0,1
1766,57,0,174,1,0
1767,40,0,144,0,0
1768,54,0,170,2,0
1769,36,0,182,0,0
1770,59,0,173,0,1
1771,53,1,179,1,0
1772,53,1,155,1,1
1773,21,1,167,1,0
1774,29,1,145,1,0
1775,43,0,163,1,0
1776,24,1,159,0,0
1777,44,0,153,1,0
1778,26,1,160,1,0
1779,53,0,166,2,0
1780,44,1,171,0,1
1781,30,0,155,0,0
1782,49,1,157,0,1
1783,48,1,178,0,1
1784,44,0,158,0,1
1785,23,0,181,1,0
1786,38,0,178,2,1
1787,41,1,156,2,1
1788,26,1,165,1,0
1789,40,0,182,2,0
1790,41,0,153,2,0
1791,47,1,151,2,1
1792,46,0,183,0,1
1793,45,0,158,0,1
1794,20,0,157,0,0
1795,23,0,170,2,1
1796,57,1,176,2,0
1797,27,1,165,2,1
1798,36,1,145,0,0
1799,31,1,164,1,0
1800,31,1,177,2,0
1801,22,0,176,1,0
1802,25,1,143,2,1
1803,37,1,142,0,0
1804,34,1,168,2,1
1805,25,1,141,2,1
1806,34,0,159,0,0
1807,37,0,169,1,0
1808,50,0,181,2,0
1809,54,0,176,2,0
1810,23,0,170,2,1
1811,20,1,184,2,0
1812,49,0,140,0,1
1813,20,1,171,1,0
1814,37,0,161,0,0
1815,49,1,167,1,1
1816,47,1,160,0,1
1817,54,1,143,2,1
1818,56,0,140,2,0
1819,41,0,184,1,0
1820,50,0,170,1,0
1821,57,0,162,0,1
1822,37,0,148,0,0
1823,58,1,149,1,1
1824,35,1,178,1,0
1825,21,1,168,2,1
1826,35,0,147,2,0
1827,42,1,174,2,1
1828,37,1,184,0,1
1829,42,0,176,0,1
1830,33,1,183,1,0
1831,22,0,153,0,0
1832,31,1,166,1,0
1833,29,0,156,2,0
1834,24,1,145,1,0
1835,30,1,146,1,0
1836,26,0,182,1,0
1837,28,1,184,2,0
1838,28,0,153,2,0
1839,28,1,165,2,1
1840,57,1,162,1,1
1841,38,0,152,1,0
1842,22,1,164,2,1
1843,25,1,144,0,0
1844,49,0,156,0,1
1845,57,0,147,0,1
1846,56,1,176,1,0
1847,49,0,166,0,1
1848,47,1,165,0,1
1849,37,0,165,1,0
1850,31,0,171,0,0
1851,28,1,166,0,0
1852,44,0,140,2,0
1853,23,0,178,1,0
1854,31,1,171,1,0
1855,35,0,150,0,0
1856,23,1,178,0,1
1857,56,0,142,1,0
1858,59,1,157,1,1
1859,41,1,144,0,1
1860,49,0,173,1,0
1861,23,1,143,1,0
1862,31,1,158,0,0
1863,35,0,151,1,0
1864,46,1,143,0,1
1865,35,1,147,1,0
1866,53,0,174,2,0
1867,31,1,151,0,0
1868,25,1,176,1,0
1869,50,1,174,1,1
1870,24,1,160,0,0
1871,52,0,153,2,0
1872,57,0,152,0,1
1873,49,1,167,2,1
1874,47,1,148,1,1
1875,59,1,165,1,1
1876,47,1,153,0,1
1877,49,0,141,0,1
1878,28,0,171,0,0
1879,31,1,154,2,1
1880,53,0,172,0,1
1881,34,0,177,2,1
1882,58,1,166,2,1
1883,31,0,164,0,0
1884,30,0,160,2,0
1885,45,1,157,1,1
1886,52,0,166,1,0
1887,26,1,152,2,1
1888,50,0,141,2,0
1889,42,1,142,2,1
1890,31,0,159,1,0
1891,55,1,166,1,1
1892,40,0,177,1,0
1893,24,1,147,1,0
1894,24,0,162,2,1
1895,49,0,144,2,0
1896,47,0,166,0,1
1897,39,1,179,2,0
1898,46,0,182,1,0
1899,46,0,153,2,0
1900,29,0,144,1,0
1901,51,1,162,0,1
1902,50,0,176,1,0
1903,37,1,151,1,0
1904,27,0,151,1,0
1905,55,1,148,1,1
1906,29,1,183,2,0
1907,48,0,178,2,0
1908,27,1,180,1,0
1909,23,0,180,1,0
1910,27,0,168,0,0
1911,28,1,170,1,0
1912,57,0,163,2,0
1913,25,1,154,0,0
1914,53,0,171,1,0
1915,48,1,162,2,1
1916,58,1,182,0,1
1917,28,0,157,1,0
1918,21,0,155,0,0
1919,22,0,176,1,0
1920,36,0,153,1,0
1921,22,0,141,1,0
1922,31,0,148,2,0
1923,51,0,153,2,0
1924,30,1,156,0,0
1925,40,1,157,0,0
1926,56,1,153,1,1
1927,34,0,158,0,0
1928,27,1,182,2,0
1929,49,0,169,2,0
1930,25,0,178,2,1
1931,34,1,154,1,0
1932,35,0,177,1,0
1933,52,0,179,0,1
1934,43,1,149,0,1
1935,47,0,147,1,0
1936,26,1,157,2,1
1937,29,0,173,1,0
1938,21,1,168,1,0
1939,31,0,145,1,0
1940,43,0,172,0,1
1941,26,0,182,2,1
1942,56,0,155,1,0
1943,32,0,141,2,0
1944,55,1,161,0,1
1945,25,1,180,2,0
1946,32,0,144,0,0
1947,38,1,176,2,0
1948,20,1,177,0,1
1949,21,1,161,0,0
1950,40,0,184,0,0
1951,33,1,167,2,1
1952,46,0,168,1,0
1953,41,0,172,0,1
1954,34,1,175,0,0
1955,33,1,154,2,1
1956,23,0,156,0,0
1957,37,1,182,2,0
1958,25,1,181,2,0
1959,46,0,149,0,1
1960,47,1,155,1,1
1961,33,0,160,2,0
1962,37,1,167,0,0
1963,42,0,165,1,0
1964,51,1,156,1,1
1965,45,1,140,0,1
1966,48,0,140,2,0
1967,33,1,153,0,0
1968,27,1,175,2,1
1969,46,1,146,2,1
1970,37,0,183,1,0
1971,24,1,179,0,1
1972,50,0,164,0,1
1973,48,0,172,0,1
1974,28,0,140,2,0
1975,47,0,180,2,0
1976,26,0,176,2,1
1977,27,0,178,2,1
1978,46,0,153,1,0
1979,31,0,143,2,0
1980,57,0,178,0,1
1981,49,1,149,0,1
1982,40,1,152,0,0
1983,49,0,152,2,0
1984,48,0,174,0,1
1985,43,1,154,2,1
1986,29,0,179,0,0
1987,20,0,153,0,0
1988,58,0,176,0,1
1989,39,1,145,0,0
1990,27,0,140,0,0
1991,58,1,154,0,1
1992,23,0,165,1,0
1993,50,1,166,2,1
1994,57,1,153,2,1
1995,25,1,162,2,1
1996,36,1,175,0,0
1997,46,1,154,2,1
1998,51,1,156,2,1
1999,26,1,154,2,1
2000,45,1,157,0,1
2001,31,0,157,2,0
2002,37,1,144,0,0
2003,51,1,156,2,1
2004,51,1,174,0,1
2005,40,0,174,0,0
2006,46,0,143,2,0
2007,59,0,153,2,0
2008,30,1,148,0,0
2009,58,1,175,1,1
2010,24,1,140,0,0
2011,59,1,167,1,1
2012,35,1,167,2,1
2013,33,0,149,1,0
2014,55,0,141,2,0
2015,58,0,182,1,0
2016,31,0,179,1,0
2017,59,0,175,2,0
2018,31,0,175,2,1
2019,56,0,177,0,1
2020,38,1,175,0,0
2021,31,0,164,0,0
2022,54,0,162,2,0
2023,36,0,177,1,0
2024,48,0,165,1,0
2025,29,1,144,1,0
2026,57,1,153,2,1
2027,28,0,153,2,0
2028,37,0,162,1,0
2029,48,1,182,2,0
2030,45,0,162,0,1
2031,50,0,180,1,0
2032,57,0,179,0,1
2033,50,0,175,1,0
2034,38,0,152,0,0
2035,32,0,156,2,0
2036,21,0,163,0,0
2037,47,1,143,2,1
2038,30,1,150,2,1
2039,23,1,179,2,0
2040,36,1,150,2,1
2041,47,1,157,2,1
2042,26,0,163,2,1
2043,20,1,163,1,0
2044,27,1,170,2,1
2045,45,0,163,2,0
2046,23,0,167,1,0
2047,56,0,150,1,0
2048,41,1,160,0,1
2049,28,0,149,2,0
2050,58,0,145,2,0
2051,53,1,170,2,1
2052,56,0,169,1,0
2053,24,1,167,2,1
2054,47,1,158,1,1
2055,33,0,147,2,0
2056,33,0,182,1,0
2057,28,0,154,1,0
2058,26,0,140,2,0
2059,50,1,140,0,1
2060,32,0,150,2,0
2061,54,1,156,0,1
2062,23,0,159,0,0
2063,36,0,154,2,0
2064,25,1,182,2,0
2065,49,0,180,1,0
2066,42,1,142,1,1
2067,57,1,140,2,1
2068,43,0,145,2,0
2069,56,1,161,0,1
2070,54,1,164,0,1
2071,26,1,176,1,0
2072,26,1,184,2,0
2073,44,1,181,0,1
2074,32,0,177,0,0
2075,37,0,149,0,0
2076,51,1,169,0,1
2077,57,0,169,2,0
2078,20,0,156,0,0
2079,30,0,166,2,1
2080,24,0,143,2,0
2081,51,1,163,0,1
2082,30,0,145,0,0
2083,49,0,183,1,0
2084,53,0,168,0,1
2085,33,0,151,1,0
2086,39,0,167,1,0
2087,32,0,163,2,1
2088,36,0,146,0,0
2089,57,0,168,0,1
2090,34,1,148,1,0
2091,56,1,152,2,1
2092,24,1,162,1,0
2093,20,0,160,0,0
2094,57,1,177,1,0
2095,31,1,171,2,1
2096,25,1,173,0,0
2097,36,1,145,1,0
2098,36,0,171,2,1
2099,30,1,173,0,0
2100,25,0,148,1,0
2101,43,0,172,2,0
2102,23,0,141,2,0
2103,58,0,158,2,0
2104,38,0,169,2,1
2105,50,1,169,1,1
2106,36,0,166,0,0
2107,51,1,145,0,1
2108,41,0,145,0,1
2109,53,1,173,0,1
2110,30,0,178,1,0
2111,51,1,140,0,1
2112,39,1,160,0,0
2113,22,1,183,0,1
2114,39,1,173,0,0
2115,51,0,154,1,0
2116,39,0,179,0,0
2117,59,1,142,1,1
2118,59,1,167,1,1
2119,53,1,148,0,1
2120,50,0,177,0,1
2121,59,1,159,1,1
2122,32,0,142,2,0
2123,36,0,147,0,0
2124,36,0,175,0,0
2125,26,1,179,1,0
2126,24,1,154,1,0
2127,40,0,173,0,0
2128,50,0,147,0,1
2129,32,0,156,0,0
2130,53,1,164,0,1
2131,46,0,170,1,0
2132,38,1,178,0,1
2133,26,0,184,2,1
2134,22,1,147,1,0
2135,46,1,177,0,1
2136,45,0,181,0,1
2137,33,0,184,0,0
2138,47,1,159,1,1
2139,57,1,155,0,1
2140,41,0,167,2,0
2141,25,0,150,1,0
2142,45,0,157,2,0
2143,32,0,171,1,0
2144,26,1,172,1,0
2145,29,0,168,1,0
2146,30,0,182,0,0
2147,28,1,145,2,1
2148,46,0,166,0,1
2149,36,1,173,1,0
2150,51,0,177,2,0
2151,50,1,150,0,1
2152,57,1,146,0,1
2153,58,0,177,2,0
2154,26,1,171,2,1
2155,26,0,169,2,1
2156,21,0,163,1,0
2157,21,1,160,0,0
2158,41,0,154,1,0
2159,20,0,142,0,0
2160,42,0,146,2,0
2161,56,0,160,1,0
2162,46,0,163,0,1
2163,40,0,156,1,0
2164,40,0,160,2,0
2165,59,0,161,1,0
2166,54,1,156,0,1
2167,50,1,142,0,1
2168,47,0,175,0,1
2169,56,0,178,2,0
2170,29,0,147,2,0
2171,28,1,173,1,0
2172,40,1,161,1,0
2173,43,0,150,2,0
2174,59,1,145,1,1
2175,33,1,161,0,0
2176,29,0,144,2,0
2177,47,0,179,2,0
2178,46,1,153,0,1
2179,57,1,156,1,1
2180,54,1,184,1,0
2181,26,1,168,0,0
2182,57,0,182,2,0
2183,26,0,153,0,0
2184,41,1,153,2,1
2185,23,1,163,2,1
2186,31,0,144,2,0
2187,31,1,157,2,1
2188,49,1,170,1,1
2189,34,1,151,2,1
2190,39,0,157,1,0
2191,46,1,148,1,1
2192,36,1,156,1,0
2193,55,1,181,2,0
2194,37,1,166,2,1
2195,36,0,174,1,0
2196,30,0,176,1,0
2197,29,0,140,2,0
2198,55,1,148,2,1
2199,45,1,175,2,1
2200,46,0,153,1,0
2201,35,1,160,2,1
2202,47,1,173,0,1
2203,24,0,157,2,0
2204,58,0,146,0,1
2205,41,1,184,1,0
2206,59,0,157,1,0
2207,43,0,169,0,1
2208,58,0,174,1,0
2209,42,1,171,2,1
2210,48,0,160,1,0
2211,26,1,163,2,1
2212,33,1,180,2,0
2213,33,0,164,1,0
2214,37,1,151,0,0
2215,50,1,181,1,0
2216,24,0,158,0,0
2217,38,0,149,1,0
2218,22,0,149,0,0
2219,47,0,169,1,0
2220,28,1,173,2,1
2221,35,0,171,1,0
2222,43,1,162,0,1
2223,50,1,165,1,1
2224,33,0,145,1,0
2225,48,0,180,2,0
